symbol,entrez,logfc,adjpv
"SERPINA3",12,1.46992907743533,0.000001
"ADRB2",154,0.702493278008795,0.000001
"BIRC3",330,1.66354035102215,0.000001
"BCL2A1",597,2.29027276327796,0.000001
"CFB",629,1.856943644416,0.000001
"BPGM",669,0.959027560915232,0.000001
"C3",718,1.51082192596867,0.000001
"COL8A1",1295,0.664046689354289,0.000001
"CSF2",1437,2.98107756098008,0.000001
"CSF3",1440,4.85236257931925,0.000001
"TSC22D3",1831,-0.715735943687851,0.000001
"HBEGF",1839,1.29390898906161,0.000001
"EDN1",1906,1.06258454797546,0.000001
"EFNA1",1942,0.729360454824234,0.000001
"SERPINB1",1992,0.73257175461555,0.000001
"CXCL1",2919,1.41944114967433,0.000001
"CXCL2",2920,1.39345796354302,0.000001
"CXCL3",2921,2.2323585233161,0.000001
"ICAM1",3383,1.86393495520728,0.000001
"IFI27",3429,2.89712415407548,0.000001
"IL1A",3552,1.07403816185229,0.000001
"IL1B",3553,1.06460625936529,0.000001
"IL6",3569,2.92861431905436,0.000001
"IL8",3576,2.33517329522226,0.000001
"INHBA",3624,1.82122404656076,0.000001
"IRAK2",3656,1.60188986110831,0.000001
"IVL",3713,1.04021500458672,0.000001
"KRT6B",3854,1.55034985990554,0.000001
"KRT15",3866,-0.932981457202848,0.000001
"LIF",3976,1.30953423588161,0.000001
"MMP9",4318,2.28733003958855,0.000001
"MX1",4599,2.51217416995662,0.000001
"MX2",4600,2.22230803813318,0.000001
"NEDD9",4739,0.640640397082726,0.000001
"NFKB2",4791,0.971203847160687,0.000001
"NFKBIA",4792,0.896916489220851,0.000001
"OAS1",4938,1.69750957540803,0.000001
"OAS2",4939,1.26838615774103,0.000001
"OAS3",4940,1.3199344608556,0.000001
"PDGFB",5155,1.01639080971399,0.000001
"PI3",5266,1.80298166511758,0.000001
"PLAT",5327,1.39714990163238,0.000001
"PLSCR1",5359,0.848512152239831,0.000001
"S100A8",6279,1.87140405497219,0.000001
"S100A9",6280,1.10953530789364,0.000001
"S100P",6286,0.693479434447817,0.000001
"SAA1",6288,2.22395763402378,0.000001
"SAA2",6289,2.42454183419822,0.000001
"CCL20",6364,3.14609041077072,0.000001
"CXCL5",6374,3.48723131858581,0.000001
"SOD2",6648,1.52158711717131,0.000001
"SPRR2A",6700,1.68986212023176,0.000001
"SPRR2D",6703,2.98117682277627,0.000001
"SPRR2E",6704,3.59994048688177,0.000001
"STC1",6781,0.741527733522125,0.000001
"TGM1",7051,0.795976938722815,0.000001
"TGM2",7052,0.720543915996123,0.000001
"THBD",7056,-0.982062030385217,0.000001
"TNFAIP2",7127,1.55155146564516,0.000001
"TNFAIP3",7128,1.6136866056286,0.000001
"XDH",7498,0.732138898923656,0.000001
"IFITM1",8519,1.61688472339775,0.000001
"IER3",8870,0.954290719052887,0.000001
"KYNU",8942,0.842734044694924,0.000001
"IL32",9235,1.22279068917313,0.000001
"PDZK1IP1",10158,2.42998029071354,0.000001
"TNIP1",10318,1.26613825523401,0.000001
"IRF9",10379,1.25253988910264,0.000001
"IFITM3",10410,0.779222317618656,0.000001
"GPNMB",10457,-0.794952218003612,0.000001
"IFI44",10561,0.885131806396713,0.000001
"SLC6A14",11254,1.22013614320911,0.000001
"MAFF",23764,1.13525337092595,0.000001
"MXRA5",25878,-0.904129484664083,0.000001
"TFCP2L1",29842,-0.630137906777816,0.000001
"G0S2",50486,0.840120854699645,0.000001
"RHCG",51458,1.35089121978426,0.000001
"XAF1",54739,2.53303631595229,0.000001
"IL36G",56300,2.73429463508059,0.000001
"PGLYRP4",57115,2.03949675788864,0.000001
"NFKBIZ",64332,0.911056728120958,0.000001
"ZC3H12A",80149,1.67609828217059,0.000001
"PARP9",83666,0.667878888828274,0.000001
"C15orf48",84419,1.23803540132923,0.000001
"TUBA1C",84790,0.666478377097495,0.000001
"C1QTNF1",114897,1.87419425420363,0.000001
"OLFML2A",169611,-0.953618108472325,0.000001
"HEPHL1",341208,1.30991544205247,0.000001
"IFITM10",402778,-1.568795802835,0.000001
"MAF",4094,-0.835897330568246,0.00000108588364867245
"DUSP4",1846,0.644649719285657,0.00000133167369843888
"MMP1",4312,0.769389903360843,0.0000014027141924201
"PARP12",64761,0.783053666625934,0.00000192162069206194
"SERPINB2",5055,0.706939759500546,0.00000246842297534789
"SOCS3",9021,1.03953652241649,0.00000262294920732514
"DRAM1",55332,0.703201745972394,0.00000265651569235291
"CSTB",1476,0.655460895279568,0.00000320104747477003
"RHOV",171177,0.672928391779948,0.00000371660613822066
"VNN1",8876,1.88523566356695,0.00000398102394644642
"FOSL1",8061,0.592603417771459,0.00000406930476966892
"KRT4",3851,1.01490685697314,0.00000451292727313708
"TYMP",1890,1.04268812487264,0.00000512696641308829
"VTCN1",79679,-1.07222286278397,0.00000719231569209104
"CXCL14",9547,-1.44634134568327,0.00000749831568479165
"MYLK",4638,-1.42672273531823,0.00000752146577253562
"TUBB3",10381,0.662008256559579,0.00000843544291671072
"PLAUR",5329,0.683949293400649,0.0000124596068074725
"FEZ1",9638,0.632838989504293,0.0000124596068074725
"LCN2",3934,0.719494653021191,0.0000144680581308963
"METTL7A",25840,-1.03372789811454,0.0000155919758846792
"ZBED2",79413,0.615304150689953,0.0000175376304531181
"ADAM8",101,1.01640381371777,0.0000178729460810871
"EHD1",10938,0.641655288291837,0.0000217959773929819
"DTX2",113878,0.7952901563992,0.0000219856600174412
